a	b	source	count
'anna	armaiseni	fin_kalevala.txt	1
'antoiko	anoppi	fin_kalevala.txt	1
'ei	anna	fin_kalevala.txt	1
'ei	anoppi	fin_kalevala.txt	1
'ei	ole	fin_kalevala.txt	4
'ei	ollekana	fin_kalevala.txt	1
'ellös	olko	fin_kalevala.txt	1
'en	enkä	fin_kalevala.txt	1
'kotihinne	kourusarvet	fin_kalevala.txt	1
'kova	kokko	fin_kalevala.txt	1
'kova	kourin	fin_kalevala.txt	1
'kuka	kangasta	fin_kalevala.txt	1
'kuka	kutovi	fin_kalevala.txt	1
'kyheäisin	kynnet	fin_kalevala.txt	1
'mehiläinen	mies	fin_kalevala.txt	1
'ohoh	ilmarinen	fin_kalevala.txt	1
'oi	anoppiseni	fin_kalevala.txt	1
'oi	appiseni	fin_kalevala.txt	1
'oi	armas	fin_kalevala.txt	2
'oi	on	fin_kalevala.txt	1
'oisipa	ollut	fin_kalevala.txt	1
'onko	ollut	fin_kalevala.txt	1
'osasi	emoni	fin_kalevala.txt	1
'pahasta	paha	fin_kalevala.txt	1
'tuutusen	tulessa	fin_kalevala.txt	1
--aitan	alla	fin_kanteletar.txt	1
--kannon	kirves	fin_kanteletar.txt	1
--karhu	kanto	fin_kanteletar.txt	1
--karhu	kiskoi	fin_kanteletar.txt	1
--kirves	kaatoi	fin_kanteletar.txt	1
--kirves	kuusi	fin_kanteletar.txt	1
--koira	koski	fin_kanteletar.txt	1
--kokko	käärme	fin_kanteletar.txt	1
--kuusosessa	kukko	fin_kanteletar.txt	1
--käärme	koira	fin_kanteletar.txt	1
--maahan	missä	fin_kanteletar.txt	1
--neiti	niitti	fin_kanteletar.txt	1
--neiti	nurmi	fin_kanteletar.txt	1
--vetehen	vieri	fin_kanteletar.txt	1
--viikate	vilahti	fin_kanteletar.txt	1
aaamulla	alenemahan	fin_kanteletar.txt	1
aalloillen	ajaite	fin_kalevala.txt	2
aalloillen	ajoihe	fin_kalevala.txt	1
aalloillen	asuinsijani	fin_kalevala.txt	1
aalloilta	ahto	fin_kalevala.txt	1
aalloilta	allit	fin_kalevala.txt	1
aalloissa	aina	fin_kalevala.txt	1
aalloissa	asua	fin_kalevala.txt	1
aalloissa	asuakseni	fin_kalevala.txt	1
aalloista	ajelemahan	fin_kanteletar.txt	1
aalloista	uros	fin_kalevala.txt	2
aalloista	yleni	fin_kalevala.txt	2
aalloitse	aluen	fin_kalevala.txt	1
aallokossa	alli	fin_kalevala.txt	1
aallokossa	olen	fin_kalevala.txt	1
aallollen	ylene	fin_kalevala.txt	1
aallollen	yskin	fin_kalevala.txt	1
aallon	ahveneksi	fin_kalevala.txt	1
aallon	ahvenia	fin_kalevala.txt	1
aallon	ajavan	fin_kalevala.txt	1
aallon	alta	fin_kalevala.txt	1
aallon	ankaran	fin_kalevala.txt	1
