idx	name	tradition	witness	basis	self_doubt	source
E1	perfect rhyme	English/Scots literary + all vernacular	external	named	no	en-academic mirror of the Wikipedia Rhyme taxonomy; Turco list via search; quality/phonology/non.py primary quotation of Háttatal
E2	rime riche	English/Scots literary (naturalised from French)	external	named	no	en-academic Rhyme article; Turco list ('rich rhyme, rime riche, false rhyme'); Holorime search results on rime richissime
E3	repetition (same-word rhyme)	English/Scots literary + song (constitutive in refrain forms)	project	module	no	CLAUDE.md doctrine 3, 18; quality/rhyme_types.py IDENTITY axis
E4	assonance	English/Scots literary; constitutive in folk ballad, blues, rap	external	named	no	en-academic Rhyme article; Pattison six-type scheme; CLAUDE.md doctrine 3/24
E5	consonance (coda-aligned)	English/Scots literary (Owen, Dickinson, Yeats); blues and rap	external	named	no	en-academic Rhyme article; quality/phonology/non.py _hending_consonants; CLAUDE.md doctrine 61
E6	general consonance / parechesis	English/Scots literary and rhetorical	external	named	no	Wikipedia Parechesis / Paroemion search results; Oregon State literary-terms glossary via search
E7	pararhyme	English literary (Owen's coinage), used in modern song	external	named	no	Wikipedia Pararhyme via search; Rhyme Genie type list; quality/phonology/non.py on skothending's differ-requirement
E8	reverse rhyme	English literary + songwriting-dictionary practice	external	named	no	Rhyme Genie reverse-rhyme definition via search ('bat/back, yum/yuck'); Rhyme Genie 30-type list
E9	alliteration (onset agreement)	Old English / Middle English / Scots alliterative verse; ornament in all later English and Scots verse; heavy in rap	external	named	no	quality/phonology/non.py (Háttatal on stuðlar/höfuðstafr, vowel-with-vowel, sk/sp/st declared separately); alliteration.net Field Guide via search; reproduced in-repo
E10	half rhyme / slant / near / oblique / off rhyme	English/Scots literary; the default in blues, folk and rap	external	named	no	en-academic Rhyme article ('oblique (or slant/forced)'); Turco ('consonance, slant-rhyme, off-rhyme, near-rhyme')
E11	family rhyme	English-language songwriting pedagogy (Pattison/Berklee); descriptively common in blues and rap	external	named	no	Pattison six rhyme types via search; Rhyme Genie FAMILY RHYME page definition (plosive/fricative/nasal clusters)
E12	additive rhyme	English-language songwriting pedagogy (Pattison); vernacular song generally	external	named	no	Pattison via search ('a consonant ending has been added to the matching vowel sounds'); verified repo behaviour
E13	subtractive rhyme	English-language songwriting pedagogy (Pattison)	external	named	yes	Pattison via search; Rhyme Genie type list (diminished rhyme name only, definition unverified)
E14	semirhyme	English/Scots literary; common in song	external	named	no	en-academic Rhyme article ('a rhyme with an extra syllable on one word (bend, ending)'); Rhyme Genie TRAILING RHYME page ('also referred to as semirhyme')
E15	apocopated rhyme	English/Scots literary; ballad and hymn	external	named	no	Everything2 / Rhyme Genie definitions via search ('imperfect rhyme between the final syllable of a word and the penultimate syllable of another'); Turco list via search (CONFLICTING)
E16	light rhyme	English/Scots literary; extremely common in sung verse	external	named	no	Wikipedia Light rhyme via search; anisobaric search results (Simpson 1943, C. S. Lewis)
E17	wrenched rhyme	Folk ballad, hymn, music hall, early rap	external	named	no	Turco list ('wrenched rhyme'); Wikipedia Light rhyme via search; verified repo behaviour in classify_pair
E18	syllabic rhyme	English/Scots literary (Hopkins, moderns)	external	named	no	quality/rhyme_types.py STRESS axis; en-academic Rhyme article on unstressed pairings
E19	amphisbaenic rhyme	English literary (Turco); experimental/Filipino-English (José García Villa)	external	named	no	Wikipedia Amphisbaenic rhyme via search; Turco list ('amphisbaenic rhyme (or backward rhyme)'); Villa 'reversed consonance' noted in the same results
E20	eye rhyme	English/Scots literary; hymnody	external	named	no	en-academic Rhyme article; MISSING.md E-2
E21	historical rhyme	English/Scots literary	external	named	no	CLAUDE.md test-discipline section (love/prove); en-academic Rhyme article
E22	conventional-licence rhyme	English/Scots literary, 17c-19c especially	project	memory	yes	inferred distinction; NOT verified against a named authority — treat as uncertain
E23	dialect rhyme	Scots; English regional (Lancashire, Dorset, Northern, AAVE)	external	named	no	MISSING.md F-1, F-3, F-5; Dictionaries of the Scots Language style page via search
E24	Scots vowel-length rhyme (Aitken's Law)	Scots and Scottish English	external	named	no	Wikipedia Scottish vowel length rule / A. J. Aitken 'The Scottish Vowel-length Rule' (1981) via search
E25	forced / bent / transformative rhyme	Rap/hip-hop centrally; music hall and comic verse; blues	external	named	no	Adam Bradley, Book of Rhymes, via search ('transformative rhymes'; birthday/thirstay); word-bending technique summaries
E26	masculine rhyme	English/Scots literary + all vernacular	external	named	no	Turco list; en-academic Rhyme article
E27	feminine rhyme	English/Scots literary; heavy in comic and music-hall verse	external	named	no	Turco list ('falling rhyme … falling/calling'); quality/rhyme_types.py
E28	dactylic rhyme	English/Scots literary; comic verse, Gilbert, patter song	external	named	no	Turco list; quality/rhyme_types.py SPAN
E29	multisyllabic rhyme	Rap/hip-hop centrally; also Byron, Gilbert, Hood	external	named	no	Wikipedia Multisyllabic rhymes via search; Paul Edwards, How to Rap / How to Rap 2 via search; Adam Bradley, Book of Rhymes
E30	mosaic rhyme	English/Scots literary comic verse (Byron, Hood, Gilbert); Broadway lyric; rap	external	named	no	Turco list ('compound rhyme — treats groups of words as though they were one word'; 'mosaic rhyme — compound + normal'); Wikipedia Multisyllabic rhymes for the hip-hop sense
E31	compound / phrasal rhyme	English/Scots literary comic verse; Broadway; rap	external	named	no	Turco list
E32	broken rhyme	English literary (Hopkins seriously; Browning, Gilbert, Hood comically)	external	named	no	Wikipedia Broken rhyme via search; Hull AWE and Poem Analysis summaries via search
E33	enjambed rhyme	English literary (Hopkins, Turco's taxonomy)	external	named	no	Turco list ('enjambed rhyme — uses first sound of next line to make rhyming unit')
E34	holorhyme	English comic verse; French literary (Allais, Hugo) where it originates	external	named	no	Wikipedia Holorime via search; quality/rhyme_types.py POSITION axis
E35	end rhyme	all	project	memory	yes	quality/rhyme_types.py classify_pair signature (position='end' default, unverified)
E36	internal rhyme	English/Scots literary; constitutive in rap; heavy in music hall and blues	external	named	no	MISSING.md E-3; Turco list
E37	leonine rhyme	English literary (Poe, Coleridge, Swinburne); medieval Latin origin	external	named	no	Wikipedia Leonine verse / Britannica via search; CLAUDE.md doctrine 55, 56
E38	cross rhyme	English literary (Turco's taxonomy); Swinburne	external	named	no	Turco list ('cross rhyme — rhymes ending of one line with middle of adjacent line'; 'interlaced rhyme — rhymes middle of one line with middle of next line'); quality/rhyme_types.py aliasing
E39	interlaced rhyme	English literary	external	named	no	Turco list; CLAUDE.md doctrine 42
E40	linked rhyme	English literary (Turco); Welsh-influenced practice	external	named	no	Turco list ('linked rhyme — rhyme end of one line with beginning of next')
E41	head rhyme (positional)	English literary (Turco); rap ('starting' rhymes)	external	named	no	Turco list ('head rhyme — rhymes syllables at the beginning of lines'); quality/rhyme_types.py CELL_NAMES and POSITION
E42	offbeat / off-centred internal rhyme	Rap/hip-hop; blues and R&B phrasing	external	named	no	Paul Edwards, How to Rap, on offbeat rhymes via search; CLAUDE.md doctrine 4 (no beat grid); MISSING.md C-4, C-5, E-4, G-1
E43	chain rhyme (rap sense)	Rap/hip-hop	external	named	no	Bradley, Book of Rhymes, via search ('extends a single rhyme over a succession of lines by deleting word boundaries and even consonants'); quality/rhyme_types.py line 253
E44	chain rhyme (interlocking-scheme sense)	English literary (Shelley, Frost)	unrecorded	appeal	no	standard prosody; schemes.py scope statement
E45	monorhyme / leash rhyme	English literary (Skelton); Scots flyting; rap	project	module	no	standard prosody; quality/schemes.py partition model
E46	tail rhyme (rime couée)	Scots centrally (Fergusson, Ramsay, Burns); Middle English romance	external	named	no	Wikipedia Burns stanza; Poetry Magnum Opus and Writer's Digest summaries via search
E47	bob and wheel	Middle English alliterative romance (Gawain); taken up and modified by Scots poets	external	named	no	Wikipedia Bob and wheel via search; Dictionaries of the Scots Language style page on the alliterative revival passing into Scots
E48	alliterative long line	Old English; Middle English revival; Scots 15c-16c continuation	external	named	no	alliteration.net Field Guide (OE and ME) via search; O'Donnell Old English Metre guide; quality/phonology/non.py for the Germanic parallel and the sk/sp/st rule
E49	paroemion	English rhetorical tradition; music hall and comic patter	external	named	no	Wikipedia Paroemion via search; CLAUDE.md doctrine 63
E50	cynghanedd in English (Hopkins's imitation)	Welsh in origin; naturalised English literary practice (Hopkins, and after him)	project	module	no	CLAUDE.md doctrine 43, 45, 55, 56; quality/phonology/cym.py; quality/cynghanedd_rate.py
E51	vowelling on / vowelling off (Hopkins)	English literary (Hopkins), Welsh-influenced	project	memory	yes	NOT VERIFIED — recalled from the Hopkins critical tradition; no reachable source confirmed the structural definition
E52	analysed rhyme	English literary (Turco); modernist practice	external	named	no	Turco list ('analyzed rhyme — moon/divine/chide/brood'); channel analysis of the example done here
E53	Lyon rhyme	English literary (Turco's taxonomy)	external	named	yes	Turco list via search only — SINGLE UNVERIFIED SOURCE
E54	refrain / burden / chorus	Folk ballad, hymn, music hall, blues, all popular song	project	module	no	MISSING.md A-1; CLAUDE.md doctrine 3, 18
E55	repetend	Folk ballad; free-verse practice	project	module	no	CLAUDE.md doctrine 18
E56	incremental repetition	English and Scots folk ballad (Child ballads centrally)	project	module	no	MISSING.md A-2; standard Child-ballad scholarship
E57	blues AAB stanza	Blues; carried into R&B, rock and rap	external	named	no	blues AAB form summaries via search; CLAUDE.md doctrine 2, 3
E58	anaphora	Hymn, folk, blues, rap, all English rhetorical verse	project	module	no	CLAUDE.md doctrine 15; quality/floor.py
E59	epistrophe	Hymn, gospel, blues, rap	project	module	no	CLAUDE.md doctrine 58 on radif; quality/hafez_rate.py; the brief's own note on qafiya-before-radif
E60	symploce	Hymn, gospel, rap	project	memory	no	standard rhetorical taxonomy; parallel drawn here
E61	anadiplosis	Ballad, hymn, rap	external	named	no	standard rhetorical taxonomy; Turco linked rhyme for the parallel
E62	epanalepsis	Ballad, hymn, song	unrecorded	appeal	no	standard rhetorical taxonomy
E63	homoioteleuton	English/Scots literary; endemic in weak song and rap writing	external	named	no	Wiktionary/Merriam-Webster homoioteleuton definitions via search; Turco list ('omoioteleton'); CLAUDE.md doctrine 4 value layer
E64	polyptoton	English/Scots literary; blues and gospel ('love that loves', 'done did')	external	named	no	Wikipedia Polyptoton / Figura etymologica via search
E65	antanaclasis	English literary; music hall, blues double-entendre, rap punchlines	project	memory	no	standard rhetorical taxonomy; parallel to rime riche drawn here
E66	trite rhyme	English/Scots literary; named as a fault in all vernacular pedagogy	external	named	no	Turco list ('trite rhyme'); CLAUDE.md doctrine 9, 48; quality/revise.py
E67	rhyming slang	London vernacular (Cockney); Australian and American offshoots	external	named	no	Wikipedia Rhyming slang and multiple Cockney sources via search ('omitting, from the end of the phrase, the secondary rhyming word')
E68	rhyming reduplication	Nursery, playground, music hall, everyday English	external	named	no	reduplication surveys via search (Minkova cited on the 15c emergence of rhyming and ablaut types); CLAUDE.md doctrine 65; MISSING.md F-3
E69	ablaut reduplication	Nursery, playground, everyday English	external	named	no	multiple reduplication surveys via search (I-A-O order; Minkova on historical emergence)
E70	exact reduplication	Nursery, playground, everyday English	external	named	no	reduplication surveys via search
E71	double / triple assonance and consonance	English/Scots literary; songwriting dictionaries; rap	external	named	no	Rhyme Genie 30-type list via search
E72	feminine pararhyme	English literary; songwriting dictionaries	external	named	no	Rhyme Genie 30-type list via search
E73	Rhyme Genie residue: half double rhyme, elided rhyme, related rhyme, diminished rhyme	English-language songwriting dictionary practice (Rhyme Genie's 30-type catalogue)	external	named	yes	Rhyme Genie 30-type list, names only; definitions NOT obtained — see notes for the blocked-host list
E74	sung-delivery rhyme	Blues, gospel, soul, country, rock — anywhere the tune outranks the text	project	memory	yes	NOT VERIFIED as a named type — phenomenon asserted, terminology deliberately not invented
C1	cyfatebiaeth gytsain (the consonant skeleton) — SUBSTRATE, not itself a named cynghanedd	Welsh	external	named	no	quality/phonology/cym.py (skeleton(), primary implementation + declared digraph inventory); corroborated by WebSearch summaries of Clywed Cynghanedd (cs.ox.ac.uk/people/geraint.jones/rhydychen.org) and the standard descriptions
C2	cynghanedd groes	Welsh	external	named	no	quality/phonology/cym.py; WebSearch summaries of standard descriptions
