# Characters data/qieyun_mc.tsv cannot read, and WHY. MISSING.md M-2.
# data/qieyun_mc.tsv itself is NOT modified: the CC0 original stays
# byte-identical and re-derivable, and this file sits beside it.
#
# THE MECHANISM, from the upstream source rather than from inference:
# nk2028/qieyun-data's 韻書/廣韻.csv prints 䰟 as the 字頭 of 小韻 483, whose
# 韻目原貌 is 魂. The rhyme group is NAMED 魂 and 魂 is never a headword in it,
# so 477 characters carry 魂 as their label and the character itself cannot be
# looked up. The extraction is faithful; the rime book is keyed on its own
# orthographic norm and a Song lyric is not.
#
# relation -- and this column is the whole point of the file. A refusal rate
# is uninterpretable until its causes are separated (doctrine 79, one layer
# down from the sonnet battery's):
#   異體  a variant of this character IS in the table. Read `target` instead.
#         An INGESTION defect, and it is now fixed.
#   簡化  a 1956 simplified form. `target` is what it simplifies. NOT mapped:
#         M-2 measured that resolving these silently returns a different
#         word's rhyme wherever the reform merged two Middle Chinese words.
#         A refusal, and its cause is the SCRIPT.
#   後起  no 廣韻 headword and no warranted 異體, but present in the
#         平水韻/詞林正韻 tables. A refusal, and it is CORRECT: the rime book
#         does not contain this graph.
#   混同  the character READS -- it is in the table -- but it doubles as the
#         simplification of `target`, so in a simplified text the reading
#         returned may be a different word's. Not a refusal: a hazard, and
#         the reason OpenCC is not the fix (M-2).
#
# WITNESSES for every 異體 row, and the standard is two:
#   PROPOSER  unicode-org/unihan-database, Unicode License v3 (redistribution
#             granted; this notice is the (b) route). kSemanticVariant,
#             kSpecializedSemanticVariant, kZVariant, read in both directions.
#   FILTER    hulbji/couyun (MIT): the pair must share a (聲, 平水韻部,
#             詞林韻部). This is not "these are the same character" -- it is
#             the predicate the module actually needs (doctrine 60):
#             substituting one for the other CANNOT change the verdict
#             ltc.rhymes gives at 平水韻 or 詞林正韻 granularity, because both
#             sit in the same cell of both standards. At RAW Qieyun
#             granularity it warrants nothing, so readings() marks every
#             substituted reading with `via` and rhyme_keys(standard='qieyun')
#             can be told apart from the two grouped standards.
#   Where Unihan proposes two targets that couyun places in different cells,
#   the row is REFUSED rather than resolved by a tie-break (doctrine 66).
#   The 19 pairs MISSING.md M-2 names are entered FIRST, with their named
#   target, so this file can be read against the register entry that motivated
#   it; 11 of the 19 are also proposed mechanically, and every one of the 19
#   is warranted by couyun.
char	relation	target	target_readings	witnesses
㐀	異體	丘	尤平	Unihan+couyun
㐅	異體	五	模上	Unihan+couyun
㐫	異體	凶	鍾平	Unihan+couyun
㐮	異體	襄	陽平	Unihan+couyun
㐯	異體	庸	鍾平	Unihan+couyun
㐴	異體	攀	刪平	Unihan+couyun
㑄	異體	侮	虞上	Unihan+couyun
㑝	異體	𢙱	東去	Unihan+couyun
㒲	異體	財	咍平	Unihan+couyun
㓟	異體	披	支上|支平	Unihan+couyun
㓮	異體	彫	蕭平	Unihan+couyun
㓸	異體	斲	江入	Unihan+couyun
㔱	異體	斞	虞上	Unihan+couyun
㗖	異體	啖	談上|談去	Unihan+couyun
㗳	異體	嗒	覃入|談入	Unihan+couyun
㘅	異體	銜	銜平	Unihan+couyun
㙮	異體	塔	談入	Unihan+couyun
㙳	異體	轗	覃上|覃去	Unihan+couyun
㚝	異體	奞	宵平|眞去|脂平	Unihan+couyun
㚣	異體	姣	肴上|肴平	Unihan+couyun
㛛	異體	娠	眞去|眞平	Unihan+couyun
㝛	異體	宿	尤去|東入	Unihan+couyun
㝦	異體	寯	眞去	Unihan+couyun
㝵	異體	礙	咍去	Unihan+couyun
㞐	異體	居	之平|魚平	Unihan+couyun
㟗	異體	豳	眞平	Unihan+couyun
㠶	異體	帆	凡去|凡平	Unihan+couyun
㢴	異體	西	齊平	Unihan+couyun
㣼	異體	忍	眞上	Unihan+couyun
㤵	異體	慈	之平	Unihan+couyun
㥃	異體	悶	魂去	Unihan+couyun
㥵	異體	慁	魂去	Unihan+couyun
㦧	異體	憯	添上|覃上	Unihan+couyun
㧃	異體	收	尤去|尤平	Unihan+couyun
㧜	異體	擸	談入|鹽入	Unihan+couyun
㨗	異體	捷	鹽入	Unihan+couyun
㩅	異體	㨨	尤平	Unihan+couyun
㩜	異體	擥	談上|談平	Unihan+couyun
㪅	異體	更	庚去|庚平	Unihan+couyun
㬅	異體	曼	元去|寒平	Unihan+couyun
㭒	異體	耜	之上	Unihan+couyun
㭨	異體	椰	麻平	Unihan+couyun
㯭	異體	樐	模上	Unihan+couyun
㯽	異體	檳	眞平	Unihan+couyun
㴔	異體	潝	侵入	Unihan+couyun
㽣	異體	域	蒸入	Unihan+couyun
䀋	異體	鹽	鹽去|鹽平	Unihan+couyun
䃘	異體	硜	耕平	Unihan+couyun
䄯	異體	𢆞	先上	Unihan+couyun
䄺	異體	稊	齊平	Unihan+couyun
䆋	異體	秋	尤平	Unihan+couyun
䆫	異體	窓	江平	Unihan+couyun
䆼	異體	窠	歌平	Unihan+couyun
䋲	異體	繩	蒸平	Unihan+couyun
䌫	異體	纜	覃上|談去	Unihan+couyun
䒒	異體	苕	蕭平	Unihan+couyun
䕌	異體	稚	脂去	Unihan+couyun
䖈	異體	虐	陽入	Unihan+couyun
䖍	異體	虔	仙平	Unihan+couyun
䖟	異體	蝱	庚平	Unihan+couyun
䖣	異體	蚤	豪上	Unihan+couyun
䘑	異體	脉	耕入	Unihan+couyun
䘚	異體	卒	眞入|魂入	Unihan+couyun
䘺	異體	綻	山去	Unihan+couyun
䙝	異體	褻	仙入	Unihan+couyun
䛡	異體	話	夬去	Unihan+couyun
䛼	異體	譭	支上	Unihan+couyun
䜊	異體	嘈	豪平	Unihan+couyun
䢜	異體	歸	微平	Unihan+couyun
䤠	異體	鍺	歌上	Unihan+couyun
䥨	異體	鑢	魚去	Unihan+couyun
䥷	異體	㔍	仙入|刪入	Unihan+couyun
䦓	異體	覘	鹽去|鹽平	Unihan+couyun
䪿	異體	囟	眞去	Unihan+couyun
䬒	異體	颼	尤平	Unihan+couyun
䭾	異體	馱	歌去|歌平	Unihan+couyun
䯌	異體	尻	豪平	Unihan+couyun
䯻	異體	髻	齊去	Unihan+couyun
䰗	異體	鬮	尤平|幽上	Unihan+couyun
䱇	異體	鱓	仙上	Unihan+couyun
䱎	異體	䱍	登去	Unihan+couyun
䱽	異體	鯧	陽平	Unihan+couyun
䳘	異體	鵝	歌平	Unihan+couyun
䴸	異體	麩	虞平	Unihan+couyun
䶏	異體	涕	齊上|齊去	Unihan+couyun
丆	後起			no 廣韻 headword; in couyun 平水韻
万	混同	万萬		Unihan kTraditionalVariant
丌	後起			no 廣韻 headword; in couyun 平水韻
与	混同	與	魚上|魚去|魚平	Unihan kTraditionalVariant
丑	混同	丑醜		Unihan kTraditionalVariant
丒	後起			no 廣韻 headword; in couyun 平水韻
专	簡化	專	仙平	Unihan kTraditionalVariant
丗	後起			no 廣韻 headword; in couyun 平水韻
业	簡化	業	嚴入	Unihan kTraditionalVariant
丛	簡化	叢	東平	Unihan kTraditionalVariant
东	異體	東	東平	Unihan+couyun
丝	簡化	絲	之平	Unihan kTraditionalVariant
丟	後起			no 廣韻 headword; in couyun 平水韻
両	異體	兩	陽上|陽去	Unihan+couyun
丢	簡化	丟丢		Unihan kTraditionalVariant
两	異體	兩	陽上|陽去	Unihan+couyun
严	簡化	嚴	嚴平	Unihan kTraditionalVariant
丧	簡化	喪	唐去|唐平	Unihan kTraditionalVariant
个	混同	个個		Unihan kTraditionalVariant
丬	後起			no 廣韻 headword; in couyun 平水韻
丰	混同	丰豐		Unihan kTraditionalVariant
临	簡化	臨	侵去|侵平	Unihan kTraditionalVariant
丷	後起			no 廣韻 headword; in couyun 平水韻
为	簡化	為爲		Unihan kTraditionalVariant
丽	混同	麗	支平|齊去	Unihan kTraditionalVariant
举	簡化	舉	魚上	Unihan kTraditionalVariant
乁	後起			no 廣韻 headword; in couyun 平水韻
乄	後起			no 廣韻 headword; in couyun 平水韻
乆	後起			no 廣韻 headword; in couyun 平水韻
乇	後起			no 廣韻 headword; in couyun 平水韻
么	異體	幺	蕭平	Unihan+couyun
义	異體	義	支去	Unihan+couyun
乊	後起			no 廣韻 headword; in couyun 平水韻
乌	簡化	烏	模平	Unihan kTraditionalVariant
乐	簡化	乐樂		Unihan kTraditionalVariant
乒	後起			no 廣韻 headword; in couyun 平水韻
乓	後起			no 廣韻 headword; in couyun 平水韻
乔	異體	喬	宵平	Unihan+couyun
乕	後起			no 廣韻 headword; in couyun 平水韻
乗	後起			no 廣韻 headword; in couyun 平水韻
乚	後起			no 廣韻 headword; in couyun 平水韻
乛	後起			no 廣韻 headword; in couyun 平水韻
习	簡化	習	侵入	Unihan kTraditionalVariant
乡	簡化	鄉	陽平	Unihan kTraditionalVariant
乢	後起			no 廣韻 headword; in couyun 平水韻
乣	後起			no 廣韻 headword; in couyun 平水韻
乤	後起			no 廣韻 headword; in couyun 平水韻
书	簡化	書	魚平	Unihan kTraditionalVariant
乧	後起			no 廣韻 headword; in couyun 平水韻
乨	後起			no 廣韻 headword; in couyun 平水韻
乩	後起			no 廣韻 headword; in couyun 平水韻
乫	後起			no 廣韻 headword; in couyun 平水韻
买	簡化	買	佳上	Unihan kTraditionalVariant
乱	異體	亂	寒去	Unihan+couyun
乴	後起			no 廣韻 headword; in couyun 平水韻
乵	後起			no 廣韻 headword; in couyun 平水韻
乹	異體	乾	仙平|寒平	Unihan+couyun
乿	後起			no 廣韻 headword; in couyun 平水韻
亀	後起			no 廣韻 headword; in couyun 平水韻
亁	異體	乾	仙平|寒平	Unihan+couyun
亃	後起			no 廣韻 headword; in couyun 平水韻
了	混同	了瞭		Unihan kTraditionalVariant
争	異體	爭	耕平	Unihan+couyun
亊	異體	事	之去	Unihan+couyun
于	混同	于於		Unihan kTraditionalVariant
亏	簡化	亏虧		Unihan kTraditionalVariant
亐	後起			no 廣韻 headword; in couyun 平水韻
云	混同	云雲		Unihan kTraditionalVariant
亓	後起			no 廣韻 headword; in couyun 平水韻
亗	異體	歲	祭去	Unihan+couyun
亘	後起			no 廣韻 headword; in couyun 平水韻
亚	簡化	亞	麻去	Unihan kTraditionalVariant
亜	後起			no 廣韻 headword; in couyun 平水韻
亝	異體	齊	齊去|齊平	Unihan+couyun
亠	後起			no 廣韻 headword; in couyun 平水韻
亣	後起			no 廣韻 headword; in couyun 平水韻
产	簡化	產産		Unihan kTraditionalVariant
亩	簡化	畝	侯上	Unihan kTraditionalVariant
享	後起			no 廣韻 headword; in couyun 平水韻
亰	後起			no 廣韻 headword; in couyun 平水韻
亱	後起			no 廣韻 headword; in couyun 平水韻
亲	簡化	親	眞去|眞平	Unihan kTraditionalVariant
亴	後起			no 廣韻 headword; in couyun 平水韻
亵	簡化	褻	仙入	Unihan kTraditionalVariant
亷	後起			no 廣韻 headword; in couyun 平水韻
亸	簡化	嚲	歌上	Unihan kTraditionalVariant
亾	異體	亡	陽平	Unihan+couyun
亿	簡化	億	蒸入	Unihan kTraditionalVariant
仅	簡化	仅僅		Unihan kTraditionalVariant
仆	混同	仆僕		Unihan kTraditionalVariant
仈	後起			no 廣韻 headword; in couyun 平水韻
仌	後起			no 廣韻 headword; in couyun 平水韻
从	混同	从從		Unihan kTraditionalVariant
仏	後起			no 廣韻 headword; in couyun 平水韻
仑	簡化	侖	眞平	Unihan kTraditionalVariant
仓	簡化	倉	唐平	Unihan kTraditionalVariant
仦	後起			no 廣韻 headword; in couyun 平水韻
仧	後起			no 廣韻 headword; in couyun 平水韻
仪	簡化	仪儀		Unihan kTraditionalVariant
们	簡化	們		Unihan kTraditionalVariant
仭	後起			no 廣韻 headword; in couyun 平水韻
仮	後起			no 廣韻 headword; in couyun 平水韻
仱	後起			no 廣韻 headword; in couyun 平水韻
仴	後起			no 廣韻 headword; in couyun 平水韻
价	混同	价價		Unihan kTraditionalVariant
仺	後起			no 廣韻 headword; in couyun 平水韻
仼	後起			no 廣韻 headword; in couyun 平水韻
