term	family	layer	function	attested	gloss	source	same_object_as
AABA	(form layer)	form		1 ✓-but-wrong-object	32-bar song form	Covach, Grove	the one hit is a rhyme scheme AABA=233 in fas_baba_tahir_dobayti.txt's header — a line partition over 4 lines, not this form. Same string, different object.
Accumulative form	(form layer)	form		0	material accrues section by section	UNCITED	probably = Cumulative form (spelling variant)
Arch form	(form layer)	form		0	ABCBA, symmetric	Grove	—
Bar form (Stollen, Stollen, Abgesang)	(form layer)	form		0	AAB inside one strophe: two identical Stollen + a longer different Abgesang	Grove	the cleanest partition case — §1
Binary	(form layer)	form		2 FP (Gutenberg licence boilerplate)	AB	Grove	—
Blowing changes	(form layer)	form		0	the chord cycle the solos ride	UNCITED (jazz vernacular)	↑
Compound AABA	(form layer)	form		0	each A of an AABA is itself a verse-chorus unit	Covach	nesting-of AABA
Contrasting verse-chorus form	(form layer)	form		0	chorus on different music	Covach	species-of Verse-chorus
Copla-estribillo	(form layer)	form		0	stanza + refrain alternation	Grove	estribillo → goal
Cumulative form	(form layer)	form		1 FP (Whitman)	the theme arrives whole only at the end	Grove (Burkholder, on Ives)	↑
Eight-bar blues	(form layer)	form		0	8-bar variant	Grove	↑
Head-solos-head	(form layer)	form		0	statement, improvisations, restatement	"Grove (""head"")"	complements Blowing changes
Kirtan structure	(form layer)	form		0	call-and-response cycles, typically accelerating	Grove	the acceleration is process, not sequence
Modified strophic	(form layer)	form		0	strophic with the tune varied between strophes	Grove	species-of Strophic
Pallavi-anupallavi-charanam	(form layer)	form		0	Carnatic three-part kriti	Grove	sibling of Sthayi-antara, not the same
Period	(form layer)	form		17 FP	antecedent \	consequent	Caplin, Grove
Qawwali structure	(form layer)	form		0	alap → composed verse → improvised expansion	Grove	↑
Rhythm changes	(form layer)	form		0	"the chord cycle of ""I Got Rhythm"""	Grove	rides an AABA section sequence
Ritornello form	(form layer)	form		0	a returning tutti alternating with episodes	Grove	ancestor of Rondo
Rondo	(form layer)	form		0	ABACA…, one refrain-section alternating with distinct episodes	Grove	—
Sentence	(form layer)	form		33 FP	presentation \	continuation	Caplin, Grove
Simple verse form	(form layer)	form		0	verses only, no chorus	Covach	= Strophic form
Simple verse-chorus form	(form layer)	form		0	chorus sung to the same music as the verse	Covach	species-of Verse-chorus
Sixteen-bar blues	(form layer)	form		0	16-bar variant	Grove	↑
Son montuno structure	(form layer)	form		0	largo (composed) → montuno (open call-and-response)	Grove	the montuno half is also process
Sonata-allegro	(form layer)	form		0	exposition–development–recapitulation	Grove	H-D redescribe as rotational
SRDC	(form layer)	form		0	Statement-Restatement-Departure-Conclusion, a 4-part pattern inside a verse	Everett	≅ Caplin's sentence (S+R = presentation; D+C = continuation+cadential). Same problem as pembayang/maksud — §3
Sthayi-antara form	(form layer)	form		5 FP (Sanskrit lexical antaraṃ/anantaraḥ)	lower-register sthāyī + upper-register antarā	Grove	is what a Bandish has
Strophic form	(form layer)	form		"1 ✓ (fin_kanteletar_uudempia.txt header: ""RHYMED and STROPHIC"")"	one section type, repeated with new words	Grove, Covach	= Simple verse form
Telos form	(form layer)	form		2 FP (Finnish taistelossa)	form aimed at a final goal-arrival	UNCITED (lead: H-D use telos, but not as a form name — unverified)	overlaps Terminally climactic
Terminally climactic form	(form layer)	form		0	the peak is a new section at the end, never returned to	Osborn	overlaps Telos form
Ternary	(form layer)	form		1 FP (Herrick title)	ABA	Grove	= da capo aria's form
Through-composed	(form layer)	form		1 ✓ (eng_celtic_thomas_moore.txt header)	no section recurs	Grove	—
Twelve-bar blues	(form layer)	form		0	12-bar harmonic cycle	Grove	not a line partition — but its lyric is AAB, which is one. Two objects.
Verse-chorus form	(form layer)	form		0	alternating verse and returning chorus	Covach	genus of the next two
Verse-refrain form	(form layer)	form		0	a returning line/couplet inside the stanza, not a standalone section	Covach, Grove	"the repo already types this: SECTION_FUNCTIONS[""refrain""]'s own gloss says ""not a standalone section"", and plan.GENERATOR_ROSTER excludes it for that reason"
Auxiliary module	(form layer)	meta		0	a supporting/optional section	UNCITED	≈ framing
Bandish	(form layer)	meta		0	the fixed composition (which carries sthāyī+antarā); a term for the object, not a pattern or a span	Grove	has-a Sthayi-antara form
Concluding function	(form layer)	meta		0	closes and cadences its unit, from inside it	Caplin	NOTHING in the eight — see §2
Cycle	(form layer)	meta		9 FP	two readings: cyclic form (material returns across movements) vs song cycle (a set of songs)	Grove	—
Formal function	(form layer)	meta		0	the role a passage plays in temporal unfolding; the ancestor of the whole eight-value set	Caplin	—
Framing function	(form layer)	meta		0	before-the-beginning / after-the-end	Caplin	= front_framing + rear_framing (the eight split one Caplin category)
Initiating function	(form layer)	meta		0	beginning	Caplin	= initiating
Loose verse	(form layer)	meta		0	a verse of loose-knit construction; a qualitative descriptor of a span, not a pattern	UNCITED (Caplin's tight-knit/loose-knit is the real ancestor)	—
Medial function	(form layer)	meta		0	middle	Caplin	= medial
Module	(form layer)	meta		1 FP (Python module)	generic name for a section-sized unit; a term about structure, not a structure	UNCITED (lead: Summach, unverified)	≈ the repo's Section
