# (Qieyun 韻, 聲) -> 平水韻部 and 詞林正韻部. ONE row per cell of
# data/qieyun_mc.tsv; that file is not modified by this one.
#
# WHY TWO STANDARDS IN ONE FILE. 平水韻 (1252) is the standard for 詩;
# 詞林正韻 (戈載, 1821) codifies the practice of 詞, which merges 上 with 去
# inside a 部 and holds the five 入聲 部 apart. They are different answers to
# the same question and quality/phonology/ltc.py makes the choice a declared
# coordinate (doctrine 45), so both have to be on disk to be chosen between.
#
# SOURCE  hulbji/couyun, MIT (LICENSE at repo root, covers the repository),
#         couyun/hanzi/hanzi_class.py: 115 character lists, each tagged with
#         its 聲, its 平水韻部 and its 詞林韻部. Reached by
#         `git clone https://github.com/hulbji/couyun` (data/CHANNELS.md).
#
# DERIVATION  couyun records the 部 per CHARACTER, because that is how both
#         rhyme books are printed. This module's phonology is a rime-book
#         lookup keyed on (韻, 聲), so the partition is compressed onto that
#         key by majority vote over characters that are UNAMBIGUOUS on both
#         sides -- exactly one reading in data/qieyun_mc.tsv, exactly one
#         couyun list, and agreeing on 聲. 12,289 characters vote.
#         The compression is LOSSY and the loss is recorded, not assumed:
#         every row carries the purity of its vote. Rows below 0.95 are the
#         韻 the tradition splits LEXICALLY (泰 by 開合, 佳 between 第五部 and
#         第十部) and a (韻,聲)-keyed table cannot represent that. Doctrine 36
#         one rung further in: the granularity a reference work records is
#         not the granularity a form works at, and that is true of THIS table
#         as much as of the Qieyun.
#         Keying on (韻, 聲, 開合) instead was measured: 0.9897 against 0.9871,
#         for 356 cells instead of 196 and cells with support 3. Rejected by
#         doctrine 61 -- +0.26pp of purity is not worth a rule that fires on
#         evidence that thin.
#
# INDEPENDENCE (doctrine 13)  couyun is a rhyme-lookup tool. Its per-character
#         assignment was written with no reference to 花間集, to the 欽定詞譜
#         alignment this partition is scored against, or to anything in this
#         repository. It is independent of the corpus it is measured on.
#         What it is NOT independent of: the 欽定詞譜's own 韻 markers were
#         placed by 1715 editors who knew which characters rhymed in 詞
#         practice, and 詞林正韻 (1821) codified that same practice. So a high
#         agreement between them is evidence that the SPEC agrees with the 詞
#         codification rather than the 詩 one -- which is the claim being made
#         -- and not independent evidence that either is correct.
#
# pingshui_bu / cilin_bu are couyun's signed integers, kept verbatim so a row
# can be checked against the source without a decoder: POSITIVE is 平聲,
# NEGATIVE is 上/去 (which is why 上 and 去 of one 部 compare equal under
# 詞林正韻), and cilin_bu 15..19 are the five 入聲 部.
# purity/support describe the cilin vote; ps_purity/ps_support the 平水 vote.
# An empty bu is a cell no clean character voted on: the module REFUSES there
# rather than guessing (quality/phonology/__init__.py commitment 2).
rhyme	tone	pingshui_bu	cilin_bu	cilin_name	ps_support	ps_purity	support	purity	readings
之	上	-4	-3	支微齊	77	1.0000	77	1.0000	132
之	去	-4	-3	支微齊	55	0.9821	56	1.0000	123
之	平	4	3	支微齊	141	0.9930	141	0.9930	236
仙	上	-16	-7	元寒删先	90	0.9783	92	1.0000	275
仙	入	-9	18	物月曷黠屑葉	103	0.9904	104	1.0000	241
仙	去	-17	-7	元寒删先	58	0.9831	59	1.0000	179
仙	平	16	7	元寒删先	154	0.9935	155	1.0000	350
佳	上	-9	-5	佳灰	23	1.0000	23	1.0000	45
佳	去	-10	-5	佳灰	25	1.0000	22	0.8800	65
佳	平	9	5	佳灰	19	0.7917	17	0.7083	77
侯	上	-25	-12	尤	53	1.0000	53	1.0000	139
侯	去	-26	-12	尤	73	1.0000	73	1.0000	150
侯	平	26	12	尤	68	0.9855	68	0.9855	157
侵	上	-26	-13	侵	40	0.9756	40	0.9756	96
侵	入	-14	17	質陌錫職緝	99	0.9802	99	0.9802	164
侵	去	-27	-13	侵	20	1.0000	20	1.0000	56
侵	平	27	13	侵	99	0.9900	99	0.9900	208
元	上	-13	-7	元寒删先	29	1.0000	29	1.0000	89
元	入	-6	18	物月曷黠屑葉	53	0.9298	56	0.9825	120
元	去	-14	-7	元寒删先	31	0.9688	32	1.0000	77
元	平	13	7	元寒删先	87	0.9886	86	0.9773	159
先	上	-16	-7	元寒删先	64	1.0000	64	1.0000	124
先	入	-9	18	物月曷黠屑葉	131	0.9493	133	0.9638	287
先	去	-17	-7	元寒删先	61	1.0000	61	1.0000	160
先	平	16	7	元寒删先	102	1.0000	102	1.0000	220
冬	上				0	0.0000	0	0.0000	3
冬	入	-2	15	屋沃	22	1.0000	22	1.0000	78
冬	去	-2	-1	東冬	3	1.0000	3	1.0000	9
冬	平	2	1	東冬	34	0.8947	37	0.9737	66
凡	上	-29	-14	覃鹽咸	8	1.0000	8	1.0000	11
凡	入	-17	19	合洽	4	1.0000	4	1.0000	6
凡	去	-30	-14	覃鹽咸	1	1.0000	1	1.0000	12
凡	平	30	14	覃鹽咸	4	1.0000	4	1.0000	9
刪	上	-15	-7	元寒删先	16	1.0000	16	1.0000	39
刪	入	-8	18	物月曷黠屑葉	33	0.9167	35	0.9722	80
刪	去	-16	-7	元寒删先	30	1.0000	30	1.0000	62
刪	平	15	7	元寒删先	37	1.0000	37	1.0000	73
咍	上	-10	-5	佳灰	27	0.9643	27	0.9643	58
咍	去	-11	-5	佳灰	38	1.0000	38	1.0000	88
咍	平	10	5	佳灰	81	1.0000	81	1.0000	134
咸	上	-29	-14	覃鹽咸	12	0.9231	12	0.9231	43
咸	入	-17	19	合洽	44	0.9565	45	0.9783	85
咸	去	-30	-14	覃鹽咸	4	0.8000	5	1.0000	25
咸	平	30	14	覃鹽咸	30	0.9677	31	1.0000	71
唐	上	-22	-2	江陽	46	1.0000	46	1.0000	117
唐	入	-10	16	覺藥	151	0.9869	152	0.9935	275
唐	去	-23	-2	江陽	20	1.0000	20	1.0000	78
唐	平	22	2	江陽	178	0.9944	178	0.9944	285
嚴	上	-28	-14	覃鹽咸	6	0.7500	8	1.0000	16
嚴	入	-17	19	合洽	36	0.9474	36	0.9474	69
嚴	去	-29	-14	覃鹽咸	7	0.8750	7	0.8750	17
嚴	平	29	14	覃鹽咸	2	1.0000	2	1.0000	11
夬	去	-10	-5	佳灰	20	1.0000	19	0.9500	43
宵	上	-17	-8	蕭肴豪	55	0.9821	55	0.9821	126
宵	去	-18	-8	蕭肴豪	40	1.0000	40	1.0000	102
宵	平	17	8	蕭肴豪	110	0.9821	110	0.9821	262
寒	上	-14	-7	元寒删先	57	0.9828	58	1.0000	151
寒	入	-7	18	物月曷黠屑葉	133	0.9708	137	1.0000	294
寒	去	-15	-7	元寒删先	114	0.9913	115	1.0000	249
寒	平	14	7	元寒删先	133	0.9779	135	0.9926	302
尤	上	-25	-12	尤	81	1.0000	81	1.0000	164
尤	去	-26	-12	尤	65	1.0000	65	1.0000	164
尤	平	26	12	尤	240	0.9877	240	0.9877	428
山	上	-15	-7	元寒删先	19	1.0000	19	1.0000	45
山	入	-8	18	物月曷黠屑葉	57	0.9344	60	0.9836	124
山	去	-16	-7	元寒删先	11	1.0000	11	1.0000	23
山	平	15	7	元寒删先	21	0.9545	22	1.0000	63
幽	上	-25	-12	尤	2	1.0000	2	1.0000	12
幽	去	-26	-12	尤	3	1.0000	3	1.0000	5
幽	平	26	12	尤	9	0.9000	9	0.9000	35
庚	上	-23	-11	庚青蒸	52	0.9811	52	0.9811	86
庚	入	-11	17	質陌錫職緝	92	0.9892	92	0.9892	182
庚	去	-24	-11	庚青蒸	23	1.0000	23	1.0000	64
庚	平	23	11	庚青蒸	95	0.9896	95	0.9896	183
廢	去	-11	-3	支微齊	22	0.8462	26	1.0000	40
